병원명,업무구분,대표전화,주소,위도,경도,월요일 진료,화요일 진료,수요일 진료,목요일 진료,금요일 진료,토요일 진료,일요일 진료,공휴일 진료,일요일진료,데이터기준일자
약산애한방병원,응급의료기관 이외 > 한방병원,031-365-5875,"경기도 안산시 상록구 본이로 44, 3~8층 (본오동)",37.2946892,126.8715568,09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,09:30~18:00,-,-,,2020-09-25
생생한방병원,응급의료기관 이외 > 한방병원,031-893-4999,"경기도 안산시 상록구 석호로 196, 1층일부 및 4층 (사동)",37.2953081,126.8526085,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~18:00,09:00~13:00,-,-,,2020-09-25
다솜의원,응급의료기관 이외 > 의원,031-401-7815,"경기도 안산시 상록구 충장로 432 (성포동, 홈플러스내2층)",37.3171463,126.8500723,10:00~21:00,10:00~21:00,10:00~21:00,10:00~21:00,10:00~21:00,10:00~21:00,10:00~21:00,10:00~21:00,Y,2020-09-25
부곡경희한의원,응급의료기관 이외 > 한의원,031-406-8883,"경기도 안산시 상록구 부곡로 123 (부곡동, 2~3층)",37.3329299,126.8633117,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~14:00,-,-,,2020-09-25
새이치과의원,응급의료기관 이외 > 치과의원,031-411-5550,"경기도 안산시 상록구 광덕산3로 43, 2층 (월피동)",37.3348496,126.8463187,10:00~18:30,10:00~18:30,10:00~18:30,10:00~13:00,10:00~18:30,10:00~14:00,-,-,,2020-09-25
안산고려의원,응급의료기관 이외 > 의원,031-406-3321,"경기도 안산시 상록구 광덕1로 366, 6층 (이동, 로진메디칼빌딩)",37.3074253,126.8503226,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~12:00,-,-,,2020-09-25
바른몸한의원,응급의료기관 이외 > 한의원,031-438-1914,"경기도 안산시 상록구 건건3길 5, 센타프라자 301호 (건건동)",37.3080086,126.8504614,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~16:00,-,-,,2020-09-25
안산의료복지사회적협동조합 새안산우리치과의원,응급의료기관 이외 > 치과의원,031-401-2208,"경기도 안산시 상록구 예술광장로 31, 파크프라자 505~509호 (월피동)",37.3285717,126.8475081,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~13:00,-,-,,2020-09-25
청아한의원,응급의료기관 이외 > 한의원,031-413-1010,"경기도 안산시 상록구 본삼로 39 (본오동, 인제빌딩)",37.3010916,126.8643359,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~14:00,-,-,,2020-09-25
진인한의원,응급의료기관 이외 > 한의원,031-501-2999,"경기도 안산시 상록구 중보로 47, 고잔프라자 201,202호 (이동)",37.3074723,126.8518483,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~19:00,09:30~14:00,-,-,,2020-09-25
소나무한의원,응급의료기관 이외 > 한의원,031-501-8275,"경기도 안산시 상록구 건건1길 30, 2층 (건건동, 재진빌딩)",37.3030984,126.9020648,09:30~19:30,09:30~18:30,09:30~18:30,09:30~18:30,09:30~18:30,09:00~15:00,-,-,,2020-09-25
