약국명,대표전화,주소,월요일 운영,화요일 운영,수요일 운영,목요일 운영,금요일 운영,토요일 운영,일요일 운영,공휴일 운영,데이터기준일자
지수약국,031-405-1354,"경기도 안산시 단원구 선부로 185, 대흥빌딩 105호 (선부동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~18:00,-,-,2020-09-25
신유약국,031-481-8239,"경기도 안산시 단원구 보배4길 1, 107호 (고잔동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~18:00,-,-,2020-09-25
선부라성약국,031-413-6397,"경기도 안산시 단원구 선부광장1로 62, 102호 (선부동)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,08:30~20:00,09:00~19:00,09:00~19:00,2020-09-25
건강드림약국,070-7570-0478,"경기도 안산시 단원구 고잔2길 9, 101,102호 (고잔동)",09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~19:00,09:00~15:00,-,-,2020-09-25
초지라성약국,031-439-6724,"경기도 안산시 단원구 초지로 100, 세종프라자 109~111호 (초지동)",09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,2020-09-25
라임약국,031-41-4006,"경기도 안산시 단원구 중앙대로 907, 안산종합상가 1동 4층 1405,1406호 일부호 (고잔동)",10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,10:00~18:00,-,-,-,2020-09-25
홍약국,031-403-4379,"경기도 안산시 단원구 광덕3로 167, 신영프라자 1층 102호 (고잔동)",09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,09:00~20:30,-,-,-,2020-09-25
진약국,070-8834-8275,"경기도 안산시 단원구 광덕4로 112, 슈마프라자 1층 104,105호 (고잔동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~17:00,-,09:00~14:00,2020-09-25
행복한약국,070-8833-0152,"경기도 안산시 단원구 광덕1로 159, 108호 (고잔동)",09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~20:00,09:00~16:00,-,-,2020-09-25
월그린약국,031-405-8197,"경기도 안산시 단원구 광덕3로 178, 108109,131호 (고잔동)",09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:30,09:00~21:00,-,09:00~21:00,2020-09-25
